Date,mean,25th,median,75th,,,GRACE based ET,,,OpenET,GRACE based ET
1/1/2000,6.387678528,3,7,9,,,,,,-38.50232147,
2/1/2000,10.51981976,8,11,13,,,,,,-34.37018024,
3/1/2000,25.44138973,18,26,32,,,,,,-19.44861027,
4/1/2000,55.53712796,39,58,72,,,,,,10.64712796,
5/1/2000,71.53923347,55,76,93,,,,,,26.64923347,
6/1/2000,92.84240116,63,99,124,,,,,,47.95240116,
7/1/2000,96.60570186,56,105,140,,,,,,51.71570186,
8/1/2000,78.84464146,42,84,116,,,,,,33.95464146,
9/1/2000,46.45944153,30,48,58,,,,,,1.56944153,
10/1/2000,26.15855497,19,26,32,,,,,,-18.73144503,
11/1/2000,8.740546409,6,9,11,,,,,,-36.14945359,
12/1/2000,6.212680224,3,6,9,,,,,,-38.67731978,
1/1/2001,6.536897363,3,7,10,,,,,,-38.35310264,
2/1/2001,10.45983948,6,10,14,,,,,,-34.43016052,
3/1/2001,28.00669562,19,28,35,,,,,,-16.88330438,
4/1/2001,49.89952355,41,53,63,,,,,,5.00952355,
5/1/2001,87.59237093,66,93,109,,,,,,42.70237093,
6/1/2001,83.68059828,59,90,107,,,,,,38.79059828,
7/1/2001,93.3645136,55,102,133,,,,,,48.4745136,
8/1/2001,77.7091249,41,82,114,,,,,,32.8191249,
9/1/2001,50.29817261,28,54,71,,,,,,5.40817261,
10/1/2001,26.55189675,16,29,35,,,,,,-18.33810325,
11/1/2001,11.58234121,8,11,14,,,,,,-33.30765879,
12/1/2001,5.408609952,3,5,7,,,,,,-39.48139005,
1/1/2002,6.405476438,4,7,8,,,,,,-38.48452356,
2/1/2002,10.37644482,5,9,14,,,,,,-34.51355518,
3/1/2002,23.99180776,16,24,32,,,,,,-20.89819224,
4/1/2002,46.57538405,30,50,63,,,,,,1.68538405,
5/1/2002,67.49085642,46,72,90,,5/1/2002 0:00,52.50063109,,,22.60085642,24.55063109
6/1/2002,87.62438936,57,95,116,,6/1/2002 0:00,76.99049747,,,42.73438936,49.04049747
7/1/2002,100.0318437,55,106,143,,7/1/2002 0:00,62.32112442,,,55.1418437,34.37112442
8/1/2002,73.78113503,42,79,107,,8/1/2002 0:00,51.25545771,,,28.89113503,23.30545771
9/1/2002,49.40419758,27,53,71,,9/1/2002 0:00,46.41667334,,,4.51419758,18.46667334
10/1/2002,28.00995115,19,30,38,,10/1/2002 0:00,2.242352699,,,-16.88004885,-25.7076473
11/1/2002,14.1122369,10,14,18,,11/1/2002 0:00,-10.64401647,,,-30.7777631,-38.59401647
12/1/2002,8.344128822,6,8,11,,12/1/2002 0:00,16.53623169,,,-36.54587118,-11.41376831
1/1/2003,8.466075629,6,8,10,,1/1/2003 0:00,6.848073853,,,-36.42392437,-21.10192615
2/1/2003,13.16796333,9,12,17,,2/1/2003 0:00,-28.87982325,,,-31.72203667,-56.82982325
3/1/2003,29.81682266,23,31,38,,3/1/2003 0:00,21.86994835,,,-15.07317734,-6.080051649
4/1/2003,48.85781579,39,50,60,,4/1/2003 0:00,23.22725295,,,3.96781579,-4.722747052
5/1/2003,76.51132725,53,83,99,,5/1/2003 0:00,58.52990548,,,31.62132725,30.57990548
6/1/2003,95.58983174,68,107,128,,6/1/2003 0:00,85.38173876,,,50.69983174,57.43173876
7/1/2003,99.41233942,54,102,140,,7/1/2003 0:00,76.20388352,,,54.52233942,48.25388352
8/1/2003,76.03491949,38,77,107,,8/1/2003 0:00,46.0225879,,,31.14491949,18.0725879
9/1/2003,47.12918401,25,48,66,,9/1/2003 0:00,25.19651234,,,2.23918401,-2.753487659
10/1/2003,29.39279899,20,30,39,,10/1/2003 0:00,12.32510434,,,-15.49720101,-15.62489566
11/1/2003,11.9420421,9,13,15,,11/1/2003 0:00,-15.20940158,,,-32.9479579,-43.15940158
12/1/2003,6.020033082,4,6,7,,12/1/2003 0:00,6.355082847,,,-38.86996692,-21.59491715
1/1/2004,6.843751895,4,6,10,,1/1/2004 0:00,22.94938107,,,-38.04624811,-5.000618933
2/1/2004,11.26133896,7,10,14,,2/1/2004 0:00,7.538968606,,,-33.62866104,-20.41103139
3/1/2004,37.42808033,31,40,44,,3/1/2004 0:00,9.952390687,,,-7.46191967,-17.99760931
4/1/2004,62.70224956,44,65,82,,4/1/2004 0:00,26.24581155,,,17.81224956,-1.704188453
5/1/2004,70.35684122,46,76,92,,5/1/2004 0:00,73.89389265,,,25.46684122,45.94389265
